t_id,probability
19778,0.50141537189483643
21465,0.50973933935165405
25493,0.47184118628501892
8272,0.49572506546974182
24140,0.51417762041091919
633,0.48004984855651855
30355,0.54356086254119873
13873,0.50874698162078857
2835,0.49382865428924561
11453,0.5333980917930603
9035,0.49036583304405212
19391,0.50320875644683838
16637,0.45901080965995789
1644,0.48261693120002747
2404,0.50959378480911255
13152,0.50014299154281616
18352,0.46398389339447021
3503,0.47143304347991943
16219,0.44523921608924866
5372,0.43241342902183533
9849,0.49906566739082336
9688,0.49848243594169617
10470,0.5297582745552063
25916,0.55369269847869873
21486,0.5073736310005188
8827,0.50522631406784058
29318,0.52353250980377197
24955,0.47029337286949158
15945,0.48505628108978271
13362,0.5209660530090332
17559,0.46050536632537842
22055,0.477021723985672
27144,0.50536817312240601
6312,0.44120410084724426
9684,0.53979867696762085
16769,0.53422838449478149
19850,0.52543437480926514
7779,0.49404129385948181
9906,0.42104393243789673
30553,0.51806032657623291
29716,0.47103330492973328
23374,0.4939899742603302
5150,0.46178993582725525
16089,0.49082756042480469
29349,0.51133972406387329
20046,0.51569706201553345
3795,0.511280357837677
9378,0.43735924363136292
7030,0.43548977375030518
19027,0.48360878229141235
30371,0.46443143486976624
23582,0.51212549209594727
830,0.48264181613922119
31362,0.50159329175949097
28815,0.54471349716186523
2661,0.48472771048545837
24581,0.47268903255462646
30986,0.52920442819595337
10684,0.50565528869628906
25635,0.50003021955490112
10469,0.49329951405525208
22246,0.53261059522628784
7112,0.44633933901786804
2759,0.5274694561958313
29498,0.51909947395324707
5212,0.48127618432044983
8130,0.48912909626960754
10850,0.50436753034591675
25922,0.46859312057495117
4607,0.50068241357803345
4270,0.52638065814971924
2402,0.49900966882705688
27879,0.475309818983078
28549,0.46586522459983826
18434,0.50484365224838257
12787,0.49333375692367554
23137,0.48676985502243042
85,0.51573765277862549
2130,0.55476498603820801
24702,0.52925127744674683
24505,0.51233136653900146
22785,0.50131630897521973
11885,0.46807029843330383
24785,0.41686820983886719
9321,0.49719744920730591
16499,0.50827598571777344
23628,0.46262389421463013
282,0.51255446672439575
19210,0.5095289945602417
13650,0.45220255851745605
19738,0.49436274170875549
25262,0.48358190059661865
17176,0.45856046676635742
2571,0.45794013142585754
31215,0.51965081691741943
26821,0.46129888296127319
20109,0.44666013121604919
8962,0.44568043947219849
17157,0.46698549389839172
22695,0.46841257810592651
26799,0.53287523984909058
30010,0.49639752507209778
16360,0.51379591226577759
16021,0.47178727388381958
16413,0.47750547528266907
18949,0.48571380972862244
21361,0.49698039889335632
20110,0.45595288276672363
7966,0.51042455434799194
6877,0.45617601275444031
19291,0.46386617422103882
31016,0.49536794424057007
22405,0.47849231958389282
18383,0.42820686101913452
190,0.5101885199546814
148,0.42693427205085754
11573,0.51508563756942749
14691,0.51335716247558594
7169,0.4900539219379425
16804,0.45932769775390625
19714,0.49871933460235596
14254,0.48055794835090637
23408,0.46917116641998291
16451,0.52082967758178711
9644,0.47486025094985962
5289,0.49035954475402832
17049,0.51137536764144897
24749,0.48011338710784912
3228,0.52848738431930542
14616,0.51056259870529175
31698,0.44410139322280884
3754,0.52621269226074219
11290,0.42259103059768677
16119,0.51303941011428833
24834,0.49664568901062012
29632,0.49287873506546021
31726,0.49251765012741089
31399,0.53867548704147339
8109,0.5193098783493042
31485,0.46329626441001892
21485,0.49178311228752136
4247,0.44850009679794312
14182,0.50105303525924683
11063,0.48114660382270813
12823,0.5001598596572876
2780,0.54390168190002441
8545,0.49715477228164673
29448,0.46664503216743469
9735,0.50967210531234741
6170,0.49181461334228516
6204,0.53699862957000732
21736,0.46538481116294861
18371,0.4368303120136261
27451,0.48641210794448853
18261,0.49334815144538879
16690,0.4873816967010498
19209,0.51574915647506714
334,0.48178538680076599
13155,0.47327232360839844
17380,0.4976012110710144
2804,0.45070365071296692
24034,0.46504148840904236
29244,0.41632139682769775
12948,0.50801742076873779
24516,0.50376749038696289
1099,0.46006268262863159
22841,0.51039779186248779
22790,0.50509607791900635
29634,0.49805057048797607
30831,0.48874902725219727
18185,0.49752825498580933
16306,0.47055286169052124
24640,0.46618750691413879
19293,0.47690165042877197
1530,0.46444562077522278
13081,0.4917585551738739
10616,0.48793694376945496
1622,0.54034686088562012
30668,0.48735830187797546
2502,0.52078104019165039
5229,0.48952412605285645
1253,0.48886734247207642
16414,0.47863417863845825
28735,0.50699251890182495
5942,0.47322875261306763
24999,0.53928601741790771
20013,0.49584779143333435
1269,0.46388384699821472
18124,0.50830245018005371
22677,0.49691435694694519
