t_id,probability
19778,0.51678174734115601
21465,0.51938635110855103
25493,0.47351542115211487
8272,0.49020835757255554
24140,0.51294326782226563
633,0.48549264669418335
30355,0.53391379117965698
13873,0.52364176511764526
2835,0.51348370313644409
11453,0.54932564496994019
9035,0.48153278231620789
19391,0.50227314233779907
16637,0.4884859025478363
1644,0.51341205835342407
2404,0.53573429584503174
13152,0.52392387390136719
18352,0.46416783332824707
3503,0.48076909780502319
16219,0.47856166958808899
5372,0.44895285367965698
9849,0.49713814258575439
9688,0.49798095226287842
10470,0.55174118280410767
25916,0.5242113471031189
21486,0.51594644784927368
8827,0.53425943851470947
29318,0.54801231622695923
24955,0.50346904993057251
15945,0.53712821006774902
13362,0.51630192995071411
17559,0.52667808532714844
22055,0.47859597206115723
27144,0.50213783979415894
6312,0.49512606859207153
9684,0.52969878911972046
16769,0.52239543199539185
19850,0.5408778190612793
7779,0.51464051008224487
9906,0.43279913067817688
30553,0.51978981494903564
29716,0.50854343175888062
23374,0.49816200137138367
5150,0.50199037790298462
16089,0.48373448848724365
29349,0.51241374015808105
20046,0.52021533250808716
3795,0.50353258848190308
9378,0.47643250226974487
7030,0.48242530226707458
19027,0.52427786588668823
30371,0.49009567499160767
23582,0.52286356687545776
830,0.49041596055030823
31362,0.49259227514266968
28815,0.53336697816848755
2661,0.48711884021759033
24581,0.49092677235603333
30986,0.51903623342514038
10684,0.499900221824646
25635,0.49199402332305908
10469,0.51781797409057617
22246,0.53802359104156494
7112,0.48528614640235901
2759,0.52356588840484619
29498,0.50113916397094727
5212,0.48460811376571655
8130,0.49315580725669861
10850,0.49382421374320984
25922,0.49598881602287292
4607,0.49104788899421692
4270,0.51167631149291992
2402,0.49868324398994446
27879,0.50203025341033936
28549,0.49091556668281555
18434,0.48911631107330322
12787,0.48457276821136475
23137,0.48675629496574402
85,0.51694923639297485
2130,0.54634290933609009
24702,0.53931635618209839
24505,0.51890915632247925
22785,0.50422424077987671
11885,0.47785571217536926
24785,0.46038693189620972
9321,0.48636996746063232
16499,0.5035976767539978
23628,0.46419829130172729
282,0.51254773139953613
19210,0.50018787384033203
13650,0.47854387760162354
19738,0.50145077705383301
25262,0.47416239976882935
17176,0.47194790840148926
2571,0.48564773797988892
31215,0.52311587333679199
26821,0.47114330530166626
20109,0.49347805976867676
8962,0.52763289213180542
17157,0.48525819182395935
22695,0.49417191743850708
26799,0.52674943208694458
30010,0.50942480564117432
16360,0.50660800933837891
16021,0.49258062243461609
16413,0.50008678436279297
18949,0.50227183103561401
21361,0.49501684308052063
20110,0.49745571613311768
7966,0.53619217872619629
6877,0.46855270862579346
19291,0.49200868606567383
31016,0.51249384880065918
22405,0.49529260396957397
18383,0.44890275597572327
190,0.50079315900802612
148,0.4704609215259552
11573,0.52894872426986694
14691,0.54595828056335449
7169,0.49324905872344971
16804,0.50438910722732544
19714,0.50371170043945313
14254,0.47860971093177795
23408,0.48596301674842834
16451,0.49397042393684387
9644,0.48316910862922668
5289,0.50367999076843262
17049,0.52189385890960693
24749,0.48302143812179565
3228,0.53899979591369629
14616,0.50214463472366333
31698,0.47184988856315613
3754,0.52467966079711914
11290,0.42880880832672119
16119,0.51555341482162476
24834,0.49095821380615234
29632,0.51381319761276245
31726,0.48998913168907166
31399,0.5577085018157959
8109,0.53186196088790894
31485,0.48559054732322693
21485,0.50583410263061523
4247,0.47522172331809998
14182,0.49315539002418518
11063,0.50527757406234741
12823,0.49610736966133118
2780,0.54421114921569824
8545,0.51041823625564575
29448,0.48005717992782593
9735,0.49872502684593201
6170,0.5143398642539978
6204,0.53328227996826172
21736,0.49476099014282227
18371,0.48532411456108093
27451,0.4933682382106781
18261,0.51197302341461182
16690,0.48936054110527039
19209,0.52888238430023193
334,0.50600045919418335
13155,0.49228030443191528
17380,0.53138595819473267
2804,0.48771005868911743
24034,0.49822503328323364
29244,0.41391131281852722
12948,0.51180428266525269
24516,0.51530551910400391
1099,0.50245273113250732
22841,0.52223187685012817
22790,0.5024147629737854
29634,0.49525690078735352
30831,0.49227336049079895
18185,0.4988822340965271
16306,0.48608273267745972
24640,0.48530188202857971
19293,0.4793580174446106
1530,0.49629417061805725
13081,0.48311123251914978
10616,0.51299417018890381
1622,0.55569243431091309
30668,0.5018724799156189
2502,0.51638036966323853
5229,0.51655101776123047
1253,0.49602746963500977
